SSE_output_unit1,SSE_output_unit2,SSE_output_unit3,SSE_output_unit4,SSE_output_unit5,SSE_output_unit6,SSE_output_unit7,SSE_output_unit8
0.8768,0.8794,0.8830,0.8766,0.8752,0.8877,0.8783,0.8728
0.8768,0.8794,0.8830,0.8765,0.8751,0.8877,0.8783,0.8728
0.8767,0.8794,0.8830,0.8764,0.8750,0.8877,0.8783,0.8727
0.8766,0.8794,0.8830,0.8764,0.8749,0.8878,0.8783,0.8726
0.8766,0.8794,0.8829,0.8763,0.8748,0.8878,0.8782,0.8725
0.8765,0.8794,0.8829,0.8762,0.8748,0.8878,0.8782,0.8724
0.8765,0.8794,0.8829,0.8762,0.8747,0.8878,0.8782,0.8723
0.8764,0.8794,0.8829,0.8761,0.8746,0.8878,0.8782,0.8722
0.8764,0.8794,0.8829,0.8760,0.8745,0.8879,0.8781,0.8721
0.8763,0.8794,0.8829,0.8759,0.8744,0.8879,0.8781,0.8720
0.8763,0.8793,0.8829,0.8759,0.8743,0.8879,0.8781,0.8720
0.8762,0.8793,0.8828,0.8758,0.8742,0.8879,0.8780,0.8719
0.8761,0.8793,0.8828,0.8757,0.8741,0.8879,0.8780,0.8718
0.8761,0.8793,0.8828,0.8756,0.8740,0.8879,0.8780,0.8717
0.8760,0.8793,0.8828,0.8755,0.8739,0.8880,0.8780,0.8716
0.8760,0.8793,0.8828,0.8754,0.8738,0.8880,0.8779,0.8715
0.8759,0.8793,0.8828,0.8754,0.8737,0.8880,0.8779,0.8714
0.8758,0.8793,0.8827,0.8753,0.8736,0.8880,0.8779,0.8713
0.8758,0.8793,0.8827,0.8752,0.8735,0.8880,0.8778,0.8712
0.8757,0.8793,0.8827,0.8751,0.8734,0.8881,0.8778,0.8710
0.8756,0.8793,0.8827,0.8750,0.8733,0.8881,0.8778,0.8709
0.8756,0.8793,0.8827,0.8749,0.8732,0.8881,0.8778,0.8708
0.8755,0.8793,0.8826,0.8748,0.8731,0.8881,0.8777,0.8707
0.8754,0.8793,0.8826,0.8747,0.8730,0.8881,0.8777,0.8706
0.8754,0.8793,0.8826,0.8746,0.8729,0.8882,0.8777,0.8705
0.8753,0.8792,0.8826,0.8745,0.8728,0.8882,0.8776,0.8704
0.8752,0.8792,0.8826,0.8744,0.8727,0.8882,0.8776,0.8703
0.8751,0.8792,0.8825,0.8743,0.8726,0.8882,0.8776,0.8702
0.8751,0.8792,0.8825,0.8742,0.8724,0.8882,0.8775,0.8700
0.8750,0.8792,0.8825,0.8741,0.8723,0.8882,0.8775,0.8699
0.8749,0.8792,0.8825,0.8740,0.8722,0.8883,0.8775,0.8698
0.8748,0.8792,0.8824,0.8739,0.8721,0.8883,0.8774,0.8697
0.8748,0.8792,0.8824,0.8737,0.8720,0.8883,0.8774,0.8695
0.8747,0.8792,0.8824,0.8736,0.8718,0.8883,0.8774,0.8694
0.8746,0.8791,0.8824,0.8735,0.8717,0.8883,0.8773,0.8693
0.8745,0.8791,0.8823,0.8734,0.8716,0.8883,0.8773,0.8691
0.8744,0.8791,0.8823,0.8733,0.8715,0.8884,0.8773,0.8690
0.8744,0.8791,0.8823,0.8731,0.8713,0.8884,0.8773,0.8689
0.8743,0.8791,0.8823,0.8730,0.8712,0.8884,0.8772,0.8687
0.8742,0.8791,0.8822,0.8729,0.8711,0.8884,0.8772,0.8686
0.8741,0.8791,0.8822,0.8728,0.8709,0.8884,0.8772,0.8685
0.8740,0.8790,0.8822,0.8726,0.8708,0.8884,0.8771,0.8683
